country,week,radio_n_clips,radio_mean_relevance,radio_conflict_clip_share,radio_actor_hits_per_clip,radio_location_hits_per_clip,radio_violence_hits_per_clip,radio_diplomacy_hits_per_clip,radio_violence_to_diplomacy_ratio,radio_n_stations,radio_commentary_share,radio_mean_text_len,radio_n_clips_lag1,radio_n_clips_delta,radio_mean_relevance_lag1,radio_mean_relevance_delta,radio_conflict_clip_share_lag1,radio_conflict_clip_share_delta,radio_actor_hits_per_clip_lag1,radio_actor_hits_per_clip_delta,radio_location_hits_per_clip_lag1,radio_location_hits_per_clip_delta,radio_violence_hits_per_clip_lag1,radio_violence_hits_per_clip_delta,radio_diplomacy_hits_per_clip_lag1,radio_diplomacy_hits_per_clip_delta,radio_violence_to_diplomacy_ratio_lag1,radio_violence_to_diplomacy_ratio_delta,radio_n_stations_lag1,radio_n_stations_delta,radio_commentary_share_lag1,radio_commentary_share_delta,radio_mean_text_len_lag1,radio_mean_text_len_delta
CG,2026-04-27,260,1.1846153846153846,0.5807692307692308,0.4307692307692308,0.75,0.5769230769230769,0.12692307692307692,4.4411764705882355,4,0.0,1362.1423076923077,,,,,,,,,,,,,,,,,,,,,,
CG,2026-05-04,730,1.1479452054794521,0.5452054794520548,0.4301369863013699,0.6876712328767123,0.6534246575342466,0.03287671232876712,19.12,4,0.0,1335.0575342465754,260.0,470.0,1.1846153846153846,-0.03667017913593251,0.5807692307692308,-0.03556375131717604,0.4307692307692308,-0.0006322444678609207,0.75,-0.06232876712328772,0.5769230769230769,0.07650158061116974,0.12692307692307692,-0.09404636459430979,4.4411764705882355,14.678823529411765,4.0,0.0,0.0,0.0,1362.1423076923077,-27.084773445732253
CG,2026-05-11,875,1.2468571428571429,0.5954285714285714,0.744,0.8925714285714286,0.6422857142857142,0.08,7.929577464788732,4,0.0,1459.3954285714285,730.0,145.0,1.1479452054794521,0.09891193737769077,0.5452054794520548,0.05022309197651664,0.4301369863013699,0.3138630136986301,0.6876712328767123,0.2049001956947163,0.6534246575342466,-0.011138943248532374,0.03287671232876712,0.04712328767123288,19.12,-11.190422535211269,4.0,0.0,0.0,0.0,1335.0575342465754,124.3378943248531
CG,2026-05-18,1135,2.1039647577092513,0.5806167400881057,0.3973568281938326,0.9832599118942731,0.7039647577092512,0.03436123348017621,20.0,4,0.0,1410.8458149779735,875.0,260.0,1.2468571428571429,0.8571076148521084,0.5954285714285714,-0.014811831340465709,0.744,-0.3466431718061674,0.8925714285714286,0.09068848332284452,0.6422857142857142,0.06167904342353692,0.08,-0.04563876651982379,7.929577464788732,12.070422535211268,4.0,0.0,0.0,0.0,1459.3954285714285,-48.54961359345498
CG,2026-05-25,1223,1.8446443172526574,0.5854456255110384,0.29844644317252655,0.866721177432543,0.7833197056418643,0.09321340964840556,8.339130434782609,3,0.0,1386.4865085854456,1135.0,88.0,2.1039647577092513,-0.25932044045659386,0.5806167400881057,0.004828885422932694,0.3973568281938326,-0.09891038502130606,0.9832599118942731,-0.11653873446173013,0.7039647577092512,0.0793549479326131,0.03436123348017621,0.05885217616822935,20.0,-11.660869565217391,4.0,-1.0,0.0,0.0,1410.8458149779735,-24.35930639252797
CG,2026-06-01,872,1.6903669724770642,0.5768348623853211,0.6605504587155964,1.0447247706422018,0.9724770642201835,0.11238532110091744,8.575757575757576,6,0.2396788990825688,1587.2626146788991,1223.0,-351.0,1.8446443172526574,-0.15427734477559318,0.5854456255110384,-0.008610763125717291,0.29844644317252655,0.3621040155430698,0.866721177432543,0.17800359320965886,0.7833197056418643,0.18915735857831928,0.09321340964840556,0.019171911452511875,8.339130434782609,0.23662714097496718,3.0,3.0,0.0,0.2396788990825688,1386.4865085854456,200.77610609345356
CG,2026-06-08,2751,1.4572882588149765,0.5423482370047256,0.6510359869138496,0.6106870229007634,0.7419120319883679,0.10832424572882589,6.829431438127091,9,0.49073064340239914,1553.7324609233006,872.0,1879.0,1.6903669724770642,-0.23307871366208777,0.5768348623853211,-0.03448662538059555,0.6605504587155964,-0.009514471801746804,1.0447247706422018,-0.43403774774143844,0.9724770642201835,-0.23056503223181568,0.11238532110091744,-0.004061075372091549,8.575757575757576,-1.7463261376304855,6.0,3.0,0.2396788990825688,0.25105174431983035,1587.2626146788991,-33.530153755598576
CG,2026-06-15,3860,1.3523316062176165,0.5297927461139896,0.7510362694300519,0.6761658031088082,0.6370466321243523,0.1432642487046632,4.44043321299639,8,0.6702072538860103,1586.4790155440414,2751.0,1109.0,1.4572882588149765,-0.10495665259735998,0.5423482370047256,-0.012555490890735932,0.6510359869138496,0.1000002825162023,0.6106870229007634,0.06547878020804487,0.7419120319883679,-0.10486539986401555,0.10832424572882589,0.03494000297583731,6.829431438127091,-2.3889982251307007,9.0,-1.0,0.49073064340239914,0.1794766104836112,1553.7324609233006,32.74655462074088
CG,2026-06-22,2146,1.4534016775396086,0.5013979496738118,0.5130475302889096,0.5442684063373718,0.576421248835042,0.10391425908667289,5.526785714285714,8,0.6369990680335508,1462.7851817334576,3860.0,-1714.0,1.3523316062176165,0.10107007132199208,0.5297927461139896,-0.02839479644017784,0.7510362694300519,-0.23798873914114227,0.6761658031088082,-0.13189739677143641,0.6370466321243523,-0.06062538328931033,0.1432642487046632,-0.039349989617990314,4.44043321299639,1.0863525012893245,8.0,0.0,0.6702072538860103,-0.03320818585245955,1586.4790155440414,-123.69383381058378
CG,2026-06-29,1426,1.449509116409537,0.5217391304347826,0.6570827489481066,0.6283309957924264,0.64726507713885,0.15287517531556802,4.219178082191781,8,0.5575035063113605,1575.625525946704,2146.0,-720.0,1.4534016775396086,-0.0038925611300715257,0.5013979496738118,0.0203411807609708,0.5130475302889096,0.144035218659197,0.5442684063373718,0.08406258945505451,0.576421248835042,0.07084382830380798,0.10391425908667289,0.04896091622889513,5.526785714285714,-1.3076076320939336,8.0,0.0,0.6369990680335508,-0.0794955617221903,1462.7851817334576,112.84034421324645
