[1] actor_only | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0907 IMPROVED (n=5 weeks)
[2] actor_only | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0866 IMPROVED (n=5 weeks)
[3] location_only | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0849 IMPROVED (n=5 weeks)
[4] location_only | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0842 IMPROVED (n=5 weeks)
[5] violence_only | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0842 IMPROVED (n=5 weeks)
[6] violence_only | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0841 IMPROVED (n=5 weeks)
[7] diplomacy_only | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0835 IMPROVED (n=5 weeks)
[8] diplomacy_only | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0835 IMPROVED (n=5 weeks)
[9] actor_location | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0888 IMPROVED (n=5 weeks)
[10] actor_location | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0852 IMPROVED (n=5 weeks)
[11] actor_violence | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0860 IMPROVED (n=5 weeks)
[12] actor_violence | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0835 IMPROVED (n=5 weeks)
[13] actor_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0906 IMPROVED (n=5 weeks)
[14] actor_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0868 IMPROVED (n=5 weeks)
[15] location_violence | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0850 IMPROVED (n=5 weeks)
[16] location_violence | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0852 IMPROVED (n=5 weeks)
[17] location_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0855 IMPROVED (n=5 weeks)
[18] location_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0842 IMPROVED (n=5 weeks)
[19] violence_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0870 IMPROVED (n=5 weeks)
[20] violence_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0841 IMPROVED (n=5 weeks)
[21] actor_location_violence | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0871 IMPROVED (n=5 weeks)
[22] actor_location_violence | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0861 IMPROVED (n=5 weeks)
[23] actor_location_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0892 IMPROVED (n=5 weeks)
[24] actor_location_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0857 IMPROVED (n=5 weeks)
[25] actor_violence_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0869 IMPROVED (n=5 weeks)
[26] actor_violence_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0842 IMPROVED (n=5 weeks)
[27] location_violence_diplomacy | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0879 IMPROVED (n=5 weeks)
[28] location_violence_diplomacy | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0849 IMPROVED (n=5 weeks)
[29] all_combined | min_relevance=None | min_train=20: baseline_mse=0.1032 radio_mse=0.0876 IMPROVED (n=5 weeks)
[30] all_combined | min_relevance=2 | min_train=20: baseline_mse=0.1032 radio_mse=0.0862 IMPROVED (n=5 weeks)

DONE, 30 real feature-engineering variants tested in 1300.3s
