country,week,countryweek_escalation_prob
Afghanistan,2016-01-04,0.9824444514637424
Afghanistan,2016-01-11,0.9812752666394674
Afghanistan,2016-01-18,0.9807169892215422
Afghanistan,2016-01-25,0.9811088425173872
Afghanistan,2016-02-01,0.9852502208568649
Afghanistan,2016-02-08,0.9812804300856287
Afghanistan,2016-02-15,0.9785306620810797
Afghanistan,2016-02-22,0.9837721883977905
Afghanistan,2016-02-29,0.9763383101492349
Afghanistan,2016-03-07,0.9836462829291169
Afghanistan,2016-03-14,0.9751117976240545
Afghanistan,2016-03-21,0.9840286988359205
Afghanistan,2016-03-28,0.981042522557416
Afghanistan,2016-04-04,0.9825630300989104
Afghanistan,2016-04-11,0.9851067933462772
Afghanistan,2016-04-18,0.9720651941154334
Afghanistan,2016-04-25,0.9844784332100023
Afghanistan,2016-05-02,0.9733375799873727
Afghanistan,2016-05-09,0.9819638084229391
Afghanistan,2016-05-16,0.982269861836421
Afghanistan,2016-05-23,0.9803356110177597
Afghanistan,2016-05-30,0.9745472214046988
Afghanistan,2016-06-06,0.9745449771110813
Afghanistan,2016-06-13,0.9845199097890961
Afghanistan,2016-06-20,0.9809089714103257
Afghanistan,2016-06-27,0.9788821263966155
Afghanistan,2016-07-04,0.9719644507948516
Afghanistan,2016-07-11,0.9782416672641197
Afghanistan,2016-07-18,0.9773382711899846
Afghanistan,2016-07-25,0.9811071875867009
Afghanistan,2016-08-01,0.9648001017102903
Afghanistan,2016-08-08,0.9842804061515619
Afghanistan,2016-08-15,0.9760477836425322
Afghanistan,2016-08-22,0.9826059035058711
Afghanistan,2016-08-29,0.9774893758147066
Afghanistan,2016-09-05,0.9711795533858206
Afghanistan,2016-09-12,0.972416721548476
Afghanistan,2016-09-19,0.9817763326366484
Afghanistan,2016-09-26,0.9808118155452737
Afghanistan,2016-10-03,0.9845969812106369
Afghanistan,2016-10-10,0.9699493196438524
Afghanistan,2016-10-17,0.9421113626833565
Afghanistan,2016-10-24,0.9790951021014277
Afghanistan,2016-10-31,0.9807183781840866
Afghanistan,2016-11-07,0.9728835498352749
Afghanistan,2016-11-14,0.9743691170734698
Afghanistan,2016-11-21,0.9759051478560311
Afghanistan,2016-11-28,0.9843627402475196
Afghanistan,2016-12-05,0.9772106934108112
Afghanistan,2016-12-12,0.9786470348610127
Afghanistan,2016-12-19,0.979805546516284
Bolivia,2016-01-04,0.17260030439772578
Bolivia,2016-01-11,0.17260030439772578
Bolivia,2016-01-18,0.17260030439772578
Bolivia,2016-01-25,0.17260030439772578
Bolivia,2016-02-01,0.17260030439772578
Bolivia,2016-02-08,0.17260030439772578
Bolivia,2016-02-15,0.17260030439772578
Bolivia,2016-02-22,0.17260030439772578
Bolivia,2016-02-29,0.17260030439772578
Bolivia,2016-03-07,0.17260030439772578
Bolivia,2016-03-14,0.17260030439772578
Bolivia,2016-03-21,0.17260030439772578
Bolivia,2016-03-28,0.17260030439772578
Bolivia,2016-04-04,0.17260030439772578
Bolivia,2016-04-11,0.17260030439772578
Bolivia,2016-04-18,0.17260030439772578
Bolivia,2016-04-25,0.17260030439772578
Bolivia,2016-05-02,0.17260030439772578
Bolivia,2016-05-09,0.17260030439772578
Bolivia,2016-05-16,0.17260030439772578
Bolivia,2016-05-23,0.17260030439772578
Bolivia,2016-05-30,0.17260030439772578
Bolivia,2016-06-06,0.17260030439772578
Bolivia,2016-06-13,0.17260030439772578
Bolivia,2016-06-20,0.17260030439772578
Bolivia,2016-06-27,0.17260030439772578
Bolivia,2016-07-04,0.17260030439772578
Bolivia,2016-07-11,0.17260030439772578
Bolivia,2016-07-18,0.17260030439772578
Bolivia,2016-07-25,0.17260030439772578
Bolivia,2016-08-01,0.17260030439772578
Bolivia,2016-08-08,0.17260030439772578
Bolivia,2016-08-15,0.17260030439772578
Bolivia,2016-08-22,0.17260030439772578
Bolivia,2016-08-29,0.17260030439772578
Bolivia,2016-09-05,0.17260030439772578
Bolivia,2016-09-12,0.17260030439772578
Bolivia,2016-09-19,0.17260030439772578
Bolivia,2016-09-26,0.17260030439772578
Bolivia,2016-10-03,0.17260030439772578
Bolivia,2016-10-10,0.17260030439772578
Bolivia,2016-10-17,0.17260030439772578
Bolivia,2016-10-24,0.17260030439772578
Bolivia,2016-10-31,0.17260030439772578
Bolivia,2016-11-07,0.17260030439772578
Bolivia,2016-11-14,0.17260030439772578
Bolivia,2016-11-21,0.17260030439772578
Bolivia,2016-11-28,0.17260030439772578
Bolivia,2016-12-05,0.17260030439772578
Bolivia,2016-12-12,0.17260030439772578
Bolivia,2016-12-19,0.17260030439772578
Colombia,2016-01-04,0.47706784391758594
Colombia,2016-01-11,0.4592158992169281
Colombia,2016-01-18,0.3957570683583389
Colombia,2016-01-25,0.4496324078519427
Colombia,2016-02-01,0.49192867936397483
Colombia,2016-02-08,0.46084406850972254
Colombia,2016-02-15,0.5442328703631122
Colombia,2016-02-22,0.5551903288443493
Colombia,2016-02-29,0.4398146845265913
Colombia,2016-03-07,0.4627129922093844
Colombia,2016-03-14,0.6033339424582546
Colombia,2016-03-21,0.4946304054862427
Colombia,2016-03-28,0.4708593467351609
Colombia,2016-04-04,0.4278519129497926
Colombia,2016-04-11,0.4875294657920894
Colombia,2016-04-18,0.3827255520586437
Colombia,2016-04-25,0.4218081706595651
Colombia,2016-05-02,0.609157336005478
Colombia,2016-05-09,0.6595113277324396
Colombia,2016-05-16,0.5907735936844292
Colombia,2016-05-23,0.4692473707406666
Colombia,2016-05-30,0.48980787292340744
Colombia,2016-06-06,0.4902913442748514
Colombia,2016-06-13,0.4788941021077741
Colombia,2016-06-20,0.47337846038362036
Colombia,2016-06-27,0.456827801749867
Colombia,2016-07-04,0.513928618638503
Colombia,2016-07-11,0.5008639475087148
Colombia,2016-07-18,0.42455820318607357
Colombia,2016-07-25,0.4235412310935454
Colombia,2016-08-01,0.4643300935041071
Colombia,2016-08-08,0.4424365279061264
Colombia,2016-08-15,0.3706988640062572
Colombia,2016-08-22,0.35562998223897263
Colombia,2016-08-29,0.4593461188263872
Colombia,2016-09-05,0.5352990716793925
Colombia,2016-09-12,0.48056773762636623
Colombia,2016-09-19,0.5099642784884034
Colombia,2016-09-26,0.5389026048333069
Colombia,2016-10-03,0.4434101977830592
Colombia,2016-10-10,0.4436759168194761
Colombia,2016-10-17,0.47055892088182727
Colombia,2016-10-24,0.5411071408397005
Colombia,2016-10-31,0.5543661303921524
Colombia,2016-11-07,0.4593038158857718
Colombia,2016-11-14,0.5027215966859625
Colombia,2016-11-21,0.43524929292524855
Colombia,2016-11-28,0.37795387784189555
Colombia,2016-12-05,0.44785976566764124
