priogrid_gid,lat,lon,country,n_events_total
123560,-4.147597590909091,39.627303454545455,Kenya,22
124761,-3.2768744827586205,-79.92281868965517,Ecuador,29
125480,-2.6107243999999996,-80.38813924,Ecuador,25
126199,-2.232220857142857,-80.90298142857144,Ecuador,35
126201,-2.1859706111111112,-79.86567211111111,Ecuador,180
126441,-2.3098902,40.37919952,Kenya,25
126442,-2.247268681818182,40.74931,Kenya,22
126921,-1.7823275675675678,-79.69777594594593,Ecuador,37
127162,-1.7792156875,40.767133375,Kenya,16
127163,-1.7321046153846156,41.33828869230769,Kenya,39
127639,-1.0989235416666667,-80.65443616666666,Ecuador,24
127640,-1.0651609407407407,-80.4485041111111,Ecuador,135
127874,-1.2729548095238097,36.82180576190476,Kenya,42
127883,-1.1388015789473684,41.327152368421046,Somalia,19
128359,-0.9625566466165414,-80.70644389473685,Ecuador,133
128360,-0.7207617837837837,-80.31103994594595,Ecuador,37
129091,-0.18161425,-74.7546185625,Colombia,16
129325,-0.36043879999999995,42.228667474999995,Somalia,40
129326,-0.3149251479289941,42.55598143786982,Somalia,169
129808,0.46155,-76.34227,Colombia,20
130043,0.3516115357142858,41.17044442857143,Somalia,28
130045,0.1929701052631579,42.25784821052632,Somalia,19
130046,0.23621199328859063,42.74051989261745,Somalia,149
130527,0.70113856,-76.69993336,Colombia,25
130765,0.514381,42.073209,Somalia,21
130767,0.7996242580645161,43.38498787096774,Somalia,31
131472,1.1831745,35.624412,Kenya,24
131486,1.1400935,42.648199625000004,Somalia,16
131489,1.151083,44.062778333333334,Somalia,27
131963,1.7225634444444442,-78.72617216666667,Colombia,18
131964,1.845254696969697,-78.45752481818182,Colombia,33
132205,1.6746653125,42.3654623125,Somalia,16
132209,1.5970361333333334,44.295290333333334,Somalia,15
132210,1.7972627593220338,44.717241030508475,Somalia,295
132686,2.2729165555555557,-77.22418134920635,Colombia,63
132924,2.264538,41.73063373333333,Somalia,15
132925,2.3465214615384613,42.26677246153846,Somalia,52
132926,2.411217612903226,42.973579709677416,Somalia,31
132930,2.0857814923076923,44.87829063076923,Somalia,65
132931,2.0906268767737113,45.32408686258402,Somalia,1339
133407,2.7362540135135136,-76.72395245945945,Colombia,74
133408,2.7782895681818185,-76.34001445454545,Colombia,44
133643,2.7304882380952384,41.0843629047619,Somalia,21
133647,2.856925115384615,43.01647307692308,Somalia,26
133649,2.799735535714286,44.11331360714286,Somalia,28
133650,2.651757391304348,44.761470021739136,Somalia,46
133651,2.726344193548387,45.40880306451613,Somalia,31
133652,2.8350610888888887,45.53421454444444,Somalia,90
134127,3.3096840000000003,-76.55799747058823,Colombia,17
134128,3.1312503203883493,-76.29553083495145,Colombia,103
134363,3.272923,41.33452636842105,Kenya,19
134364,3.1916152631578947,41.79997384210527,Somalia,19
134365,3.284849358974359,42.28304171794871,Somalia,39
134367,3.245832347826087,43.375589159420294,Somalia,69
134368,3.107150125,43.67535169318182,Somalia,88
134372,3.2914027878787877,45.644211818181816,Somalia,33
134846,3.8661145882352947,-77.03494576470588,Colombia,17
135062,3.7535560416666667,30.764074166666664,South Sudan,24
135079,3.528756869565217,39.05919952173913,Ethiopia,23
135084,3.8913564385964916,41.8289590877193,Kenya,57
135087,3.8132326,43.241789,Somalia,25
135092,3.8279673396226417,45.57517977358491,Somalia,53
135782,4.17706496875,30.7787860625,South Sudan,32
135807,4.2518234999999995,43.32754525,Somalia,20
135808,4.139887076923077,43.87957912820513,Somalia,39
135811,4.1956161176470586,45.42932888235294,Somalia,17
135812,4.162538652173913,45.58991430434783,Somalia,23
135813,4.334166875,46.109811541666666,Somalia,24
135814,4.084309833333333,46.6397615,Somalia,18
136292,4.603334727272728,-74.12096836363636,Colombia,44
136504,4.846100407407407,31.614737555555553,South Sudan,54
136531,4.737521366336634,45.215531762376244,Somalia,101
136534,4.702907941176471,46.6054744117647,Somalia,17
136536,4.736421,47.8098389,Somalia,20
