week,n_events,n_material_conflict,n_verbal_conflict,n_severe_root,n_coerce_protest_root,mean_goldstein,mean_tone,tone_neg_share,total_mentions,distinct_actors,country,region,material_conflict_share,severe_root_share,coerce_protest_share,baseline_mean_material_conflict_share,baseline_std_material_conflict_share,baseline_mean_severe_root_share,baseline_std_severe_root_share,baseline_mean_mean_goldstein,baseline_std_mean_goldstein,escalation_quad,escalation_root,label_quad_1,label_root_1,label_quad_2,label_root_2,label_quad_4,label_root_4,label_quad_8,label_root_8,n_events_lag1,n_events_lag2,n_events_delta,material_conflict_share_lag1,material_conflict_share_lag2,material_conflict_share_delta,severe_root_share_lag1,severe_root_share_lag2,severe_root_share_delta,coerce_protest_share_lag1,coerce_protest_share_lag2,coerce_protest_share_delta,mean_goldstein_lag1,mean_goldstein_lag2,mean_goldstein_delta,distinct_actors_lag1,distinct_actors_lag2,distinct_actors_delta,mean_tone_lag1,mean_tone_lag2,mean_tone_delta,tone_neg_share_lag1,tone_neg_share_lag2,tone_neg_share_delta
2023-07-31,12,2,1,1,1,1.7083333333333333,-4.655560735227079,0.9166666666666666,39,11,AF,Central/SE Asia,0.16666666666666666,0.08333333333333333,0.08333333333333333,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-07,4215,749,551,400,307,0.23926453143534995,-3.4510363454319744,0.8462633451957295,45440,261,AF,Central/SE Asia,0.17769869513641756,0.09489916963226572,0.07283511269276394,,,,,,,0,0,0,0,0,0,1,1,0,0,12.0,,4203.0,0.16666666666666666,,0.011032028469750904,0.08333333333333333,,0.011565836298932389,0.08333333333333333,,-0.010498220640569392,1.7083333333333333,,-1.4690688018979834,11.0,,250.0,-4.655560735227079,,1.2045243897951043,0.9166666666666666,,-0.07040332147093709
2023-08-14,6257,1120,749,598,452,0.3008630334025891,-2.985394826194323,0.846731660540195,103896,319,AF,Central/SE Asia,0.17899952053699855,0.09557295828671887,0.07223909221671727,,,,,,,0,0,0,0,0,0,0,0,0,0,4215.0,12.0,2042.0,0.17769869513641756,0.16666666666666666,0.0013008254005809905,0.09489916963226572,0.08333333333333333,0.000673788654453153,0.07283511269276394,0.08333333333333333,-0.0005960204760466631,0.23926453143534995,1.7083333333333333,0.06159850196723912,261.0,11.0,58.0,-3.4510363454319744,-4.655560735227079,0.4656415192376513,0.8462633451957295,0.9166666666666666,0.0004683153444654531
2023-08-21,4674,989,606,601,361,-0.13545143346170305,-3.206758514795679,0.811724433033804,54239,273,AF,Central/SE Asia,0.21159606332905434,0.12858365425759521,0.07723577235772358,,,,,,,0,0,0,0,1,1,0,0,0,0,6257.0,4215.0,-1583.0,0.17899952053699855,0.17769869513641756,0.03259654279205579,0.09557295828671887,0.09489916963226572,0.033010695970876344,0.07223909221671727,0.07283511269276394,0.004996680141006307,0.3008630334025891,0.23926453143534995,-0.4363144668642921,319.0,261.0,-46.0,-2.985394826194323,-3.4510363454319744,-0.22136368860135613,0.846731660540195,0.8462633451957295,-0.03500722750639096
2023-08-28,5322,931,589,471,317,0.5703870725291244,-2.5264396698334015,0.7880496054114995,63014,279,AF,Central/SE Asia,0.17493423524990606,0.08850056369785794,0.059564073656520104,0.18374023641728426,0.01937720727275312,0.10059727887747828,0.01948497942037338,0.5282523661773924,0.8100028189226129,0,0,1,1,0,0,0,0,0,0,4674.0,6257.0,648.0,0.21159606332905434,0.17899952053699855,-0.03666182807914828,0.12858365425759521,0.09557295828671887,-0.04008309055973727,0.07723577235772358,0.07223909221671727,-0.017671698701203477,-0.13545143346170305,0.3008630334025891,0.7058385059908274,273.0,319.0,6.0,-3.206758514795679,-2.985394826194323,0.6803188449622777,0.811724433033804,0.846731660540195,-0.02367482762230455
2023-09-04,4775,1006,554,682,295,-0.09252356020942408,-3.5804507852990866,0.8379057591623037,41730,265,AF,Central/SE Asia,0.2106806282722513,0.14282722513089005,0.061780104712041886,0.18197903618380865,0.017237060439077207,0.09817793584155421,0.017720452050855026,0.5366793074477387,0.7017360555741765,1,1,0,0,0,0,0,0,0,0,5322.0,4674.0,-547.0,0.17493423524990606,0.21159606332905434,0.03574639302234525,0.08850056369785794,0.12858365425759521,0.05432666143303211,0.059564073656520104,0.07723577235772358,0.002216031055521782,0.5703870725291244,-0.13545143346170305,-0.6629106327385484,279.0,273.0,-14.0,-2.5264396698334015,-3.206758514795679,-1.054011115465685,0.7880496054114995,0.811724433033804,0.04985615375080421
2023-09-11,5519,1049,751,600,411,0.13056713172676207,-3.4278488300312437,0.8336655191157818,64016,285,AF,Central/SE Asia,0.19007066497553904,0.10871534698314912,0.07447001268345715,0.18676263486521574,0.019364655951833478,0.10561948405644352,0.02415515215676471,0.4318121628382116,0.6781810241119813,0,0,0,0,0,0,0,0,0,0,4775.0,5322.0,744.0,0.2106806282722513,0.17493423524990606,-0.020609963296712275,0.14282722513089005,0.08850056369785794,-0.03411187814774093,0.061780104712041886,0.059564073656520104,0.012689907971415268,-0.09252356020942408,0.5703870725291244,0.22309069193618614,265.0,279.0,20.0,-3.5804507852990866,-2.5264396698334015,0.15260195526784281,0.8379057591623037,0.7880496054114995,-0.004240240046521904
2023-09-18,3965,736,459,390,267,0.2597730138713745,-2.60159466311077,0.760655737704918,45636,279,AF,Central/SE Asia,0.18562421185372005,0.09836065573770492,0.0673392181588903,0.18723521059526194,0.01772159355668861,0.10606175018883003,0.02208156112582106,0.3887771583937188,0.6294749127704845,0,0,0,0,0,0,0,0,0,0,5519.0,4775.0,-1554.0,0.19007066497553904,0.2106806282722513,-0.0044464531218189884,0.10871534698314912,0.14282722513089005,-0.010354691245444206,0.07447001268345715,0.061780104712041886,-0.007130794524566858,0.13056713172676207,-0.09252356020942408,0.12920588214461246,285.0,265.0,-6.0,-3.4278488300312437,-3.5804507852990866,0.8262541669204739,0.8336655191157818,0.8379057591623037,-0.07300978141086378
2023-09-25,5133,929,577,508,321,0.23528151178647966,-3.006128420249154,0.8244691213715176,61867,261,AF,Central/SE Asia,0.18098577829729204,0.09896746541983245,0.06253652834599649,0.1870338357525692,0.016416891003118435,0.1050991133824394,0.020624068980881944,0.37265164032842574,0.584562572171388,0,0,0,0,0,0,0,0,0,0,3965.0,5519.0,1168.0,0.18562421185372005,0.19007066497553904,-0.004638433556428012,0.09836065573770492,0.10871534698314912,0.0006068096821275348,0.0673392181588903,0.07447001268345715,-0.004802689812893807,0.2597730138713745,0.13056713172676207,-0.024491502084894867,279.0,285.0,-18.0,-2.60159466311077,-3.4278488300312437,-0.40453375713838424,0.760655737704918,0.8336655191157818,0.06381338366659961
2023-10-02,6220,1182,837,524,588,-0.0412379421221865,-4.764951964661344,0.9003215434083601,68051,283,AF,Central/SE Asia,0.190032154340836,0.0842443729903537,0.09453376205787781,0.1863618293686495,0.015488361909914697,0.10441781916437196,0.01940001675170163,0.357388292712654,0.5487221097328178,0,0,0,0,0,0,0,0,0,0,5133.0,3965.0,1087.0,0.18098577829729204,0.18562421185372005,0.009046376043543969,0.09896746541983245,0.09836065573770492,-0.014723092429478751,0.06253652834599649,0.0673392181588903,0.03199723371188132,0.23528151178647966,0.2597730138713745,-0.27651945390866617,261.0,279.0,22.0,-3.006128420249154,-2.60159466311077,-1.7588235444121896,0.8244691213715176,0.760655737704918,0.0758524220368425
