country,week,gkg_n_docs,gkg_mean_tone
AF,2023-09-03,599,-2.2462568887973737
VE,2023-09-03,184,-1.424364614957505
SO,2023-09-03,235,-3.9312401834461954
TI,2023-09-03,22,-0.6584936000298616
KG,2023-09-03,37,0.3959647986279142
UZ,2023-09-03,77,-1.5446666772211113
OD,2023-09-03,82,-2.1561017064541192
BM,2023-09-03,135,-1.2180196122413776
CO,2023-09-03,171,-1.2969297288718513
HA,2023-09-03,56,-1.0784793020205874
EC,2023-09-03,48,-1.3587366939178507
PE,2023-09-03,121,-0.5375051653443751
NU,2023-09-03,61,-2.9971374100684525
BL,2023-09-03,30,-1.4009876298198622
KE,2023-09-10,561,-1.0730250097044685
AF,2023-09-10,1070,-2.7237580206091168
EC,2023-09-10,100,-0.6195527968027613
ER,2023-09-10,33,-4.542760707200933
PK,2023-09-10,1542,-2.1172623482584427
SU,2023-09-10,543,-5.631949802774029
SO,2023-09-10,102,-4.5714758397114075
ET,2023-09-10,258,-0.12043538602623619
TI,2023-09-10,46,-0.046520619705283976
UZ,2023-09-10,111,0.8061621219833619
HA,2023-09-10,153,-3.0321770481397827
CO,2023-09-10,308,-0.2767488157545045
PE,2023-09-10,202,-0.16886444234487955
BM,2023-09-10,105,-1.8030444970321062
OD,2023-09-10,58,-4.3709363342428675
VE,2023-09-10,244,-0.4288038658873737
NU,2023-09-10,37,-1.152517630067352
BL,2023-09-10,168,-0.8005160175257001
KG,2023-09-10,38,0.17109123836648285
AF,2023-09-17,666,-1.258796808756941
PK,2023-09-17,1411,-1.3708329078553816
BM,2023-09-17,72,-0.8870252630604618
TI,2023-09-17,130,-0.9351207597228961
KG,2023-09-17,151,-0.8554706116306899
UZ,2023-09-17,157,0.394545630142068
HA,2023-09-17,106,-2.145313587150548
KE,2023-09-17,508,-0.14348563000965053
PE,2023-09-17,238,-1.9279070159310605
SU,2023-09-17,263,-3.8042931796994566
CO,2023-09-17,186,-0.37974658856082283
ER,2023-09-17,185,-8.778487242907358
SO,2023-09-17,177,-1.2953154863726815
VE,2023-09-17,224,-0.7010111618467365
NU,2023-09-17,64,0.6114455939297826
EC,2023-09-17,109,-0.37322782355401274
BL,2023-09-17,125,-1.168712565243654
ET,2023-09-17,302,-0.2521416509170809
OD,2023-09-17,52,-2.3038599794156105
VE,2023-09-24,779,-3.050746617787378
NU,2023-09-24,145,-3.5064920320727713
CO,2023-09-24,336,-2.4904333078083427
SU,2023-09-24,256,-1.4587587133108875
KG,2023-09-24,50,-0.6877121712882491
PK,2023-09-24,1485,-2.1607023215075873
ET,2023-09-24,413,-0.15614921238550297
AF,2023-09-24,652,-2.9373373705675743
SO,2023-09-24,252,-5.4845368681827695
KE,2023-09-24,594,-0.151611504895653
PE,2023-09-24,166,0.39411003509258985
EC,2023-09-24,76,-1.8049056848915344
HA,2023-09-24,174,-0.3076564648084091
UZ,2023-09-24,319,0.8977186970181593
OD,2023-09-24,67,-1.577115413864353
BM,2023-09-24,73,-3.074997965928042
ER,2023-09-24,30,-1.9178690358696426
BL,2023-09-24,54,-0.04414140694991938
TI,2023-09-24,55,-5.078663163015584
TI,2023-10-01,46,0.6468472538951346
BM,2023-10-01,80,-1.2365293266018662
PE,2023-10-01,250,-0.05362494519751004
BL,2023-10-01,99,-1.0292858980882422
EC,2023-10-01,77,-1.7233185702772045
CO,2023-10-01,282,-1.0675059575161734
PK,2023-10-01,1399,-2.862365652417957
ET,2023-10-01,176,0.2537306588977924
VE,2023-10-01,283,-1.607571865660807
OD,2023-10-01,81,-1.368424215653653
AF,2023-10-01,718,-2.45136899810389
SO,2023-10-01,287,-1.318129503326166
KE,2023-10-01,441,-0.577082254104883
HA,2023-10-01,172,-2.009501370770781
SU,2023-10-01,200,-3.245641275694587
KG,2023-10-01,34,-1.3723268339344874
UZ,2023-10-01,215,1.088393810612554
NU,2023-10-01,40,-2.10750323427022
ER,2023-10-01,23,-4.101427343516155
BM,2023-10-08,60,-2.8957437073292045
PK,2023-10-08,1855,-2.758231722042532
AF,2023-10-08,2154,-4.1468821328936505
SU,2023-10-08,249,-4.515164094775731
SO,2023-10-08,162,-4.221135506594241
ET,2023-10-08,210,-0.3014887558918792
KE,2023-10-08,523,-0.5920746055110596
VE,2023-10-08,297,-1.9997677374614224
CO,2023-10-08,359,-2.263050254195583
EC,2023-10-08,188,-4.287983810715566
OD,2023-10-08,33,-2.5281628721763165
HA,2023-10-08,121,-2.1707880860517577
PE,2023-10-08,188,-0.45807468039986216
UZ,2023-10-08,182,0.6485308826841316
KG,2023-10-08,49,1.6522441338250982
TI,2023-10-08,34,-2.6184524658555417
BL,2023-10-08,53,-0.38010151873953446
NU,2023-10-08,50,-2.245332581164831
ER,2023-10-08,17,-2.536053262793502
CO,2023-10-15,602,-1.281874326703323
EC,2023-10-15,336,-2.7110536540344445
PK,2023-10-15,1589,-1.6367588536567357
KE,2023-10-15,472,-0.44024665262206253
AF,2023-10-15,1092,-3.8885040005275346
NU,2023-10-15,196,0.040611635768072314
KG,2023-10-15,111,-1.5984741620980512
VE,2023-10-15,335,-1.6478556125622352
BM,2023-10-15,75,-0.26816560202366757
OD,2023-10-15,40,-1.8540822191497086
HA,2023-10-15,108,-1.1834919523394605
SO,2023-10-15,94,-1.862288861016182
PE,2023-10-15,181,-1.3862039797756394
SU,2023-10-15,220,-3.969547904913669
UZ,2023-10-15,76,-0.8249732176817085
ET,2023-10-15,186,-0.32439300807974497
ER,2023-10-15,23,-4.219796888701423
BL,2023-10-15,72,0.7906149292929845
TI,2023-10-15,56,-0.8318459360757027
EC,2023-10-22,200,-2.9326590763176834
PE,2023-10-22,159,-0.5724045489464454
PK,2023-10-22,1129,-1.1853904036282596
AF,2023-10-22,818,-1.908022070156036
SU,2023-10-22,107,-2.3688398360485596
KE,2023-10-22,293,-0.1920082050505563
VE,2023-10-22,637,-2.046206747776869
UZ,2023-10-22,73,2.9435125899028836
BL,2023-10-22,229,-2.9475831213981376
KG,2023-10-22,39,-0.27603443888686524
TI,2023-10-22,19,0.7324058710341271
ET,2023-10-22,112,0.16278499393259355
HA,2023-10-22,213,-3.2961944371983454
CO,2023-10-22,464,-0.3324232581170196
NU,2023-10-22,181,-3.8457003392178133
SO,2023-10-22,66,-3.3423624975952526
BM,2023-10-22,85,-0.9804221847792537
OD,2023-10-22,73,1.4864850641792713
ER,2023-10-22,18,-0.33541127858944936
ET,2023-10-29,154,0.5760002952638559
KE,2023-10-29,513,-0.18727593572706833
PK,2023-10-29,1374,-2.5223625300824124
PE,2023-10-29,174,0.18615002466835787
SO,2023-10-29,176,-2.4891229823223875
AF,2023-10-29,918,-3.5061916860676208
NU,2023-10-29,26,-1.196423578252777
BM,2023-10-29,66,-1.9377924720486843
CO,2023-10-29,292,-0.2984120356841838
VE,2023-10-29,196,-1.1022672367456785
HA,2023-10-29,55,-1.572585499238684
SU,2023-10-29,183,-3.2396877605752077
OD,2023-10-29,50,-1.1571230171364473
UZ,2023-10-29,63,0.3412535615684181
KG,2023-10-29,41,0.885662974688713
EC,2023-10-29,54,-1.225890826720556
BL,2023-10-29,34,-0.3043106094468912
TI,2023-10-29,15,-0.021925039924063052
ER,2023-10-29,19,1.8466102200829555
KE,2023-11-05,469,0.28430397453048406
SO,2023-11-05,85,-2.000160813521132
SU,2023-11-05,234,-2.2827642675997906
AF,2023-11-05,902,-3.1555060067475718
UZ,2023-11-05,77,1.3945788264156713
PK,2023-11-05,1481,-2.4289478306803924
PE,2023-11-05,135,0.11756437469531678
EC,2023-11-05,78,0.0539148137327016
VE,2023-11-05,199,-1.7732927984195246
CO,2023-11-05,296,-0.27424900194554164
ET,2023-11-05,379,0.1499954121086866
NU,2023-11-05,44,-1.241117470220493
BM,2023-11-05,109,-3.40361439373749
BL,2023-11-05,77,-2.294145499273744
OD,2023-11-05,44,-1.9793617964018457
HA,2023-11-05,81,-0.25074167242776335
KG,2023-11-05,24,-1.2536823918675681
TI,2023-11-05,11,-1.8312005673732799
ER,2023-11-05,20,-1.7601875158816358
BM,2023-11-12,231,0.5031096083318255
AF,2023-11-12,997,-1.6133794805584967
PK,2023-11-12,1247,-1.5382577329781197
PE,2023-11-12,161,1.1395318948533404
KE,2023-11-12,786,-0.2459521786623255
SO,2023-11-12,166,-3.779837245031197
ET,2023-11-12,148,-0.004818190452970048
OD,2023-11-12,57,-0.9662674353596309
CO,2023-11-12,181,-0.1689625964051104
SU,2023-11-12,363,-4.72155110696948
KG,2023-11-12,27,0.6602703459963123
VE,2023-11-12,309,-2.007756354273253
HA,2023-11-12,159,-3.621396879340154
NU,2023-11-12,42,-0.7665658065056398
EC,2023-11-12,50,-0.18496249396550318
UZ,2023-11-12,60,0.2432192783502231
BL,2023-11-12,42,-0.5920406192638078
ER,2023-11-12,22,-0.5154889049914715
TI,2023-11-12,16,-0.1025588788702374
CO,2023-11-19,390,0.4493348837808727
KE,2023-11-19,581,-1.437610551058005
VE,2023-11-19,655,-1.9496928204968045
PK,2023-11-19,1183,-1.3170622307170032
HA,2023-11-19,157,0.5202736955237426
PE,2023-11-19,240,1.2091987940669278
NU,2023-11-19,468,2.691344325165032
AF,2023-11-19,696,-2.9527167590666945
SU,2023-11-19,137,-2.301994646459152
OD,2023-11-19,92,-3.489489800338745
ET,2023-11-19,161,-0.014753389505820445
ER,2023-11-19,102,-4.293803566863439
SO,2023-11-19,153,-3.5634187519638574
EC,2023-11-19,75,-0.08682406262333982
BM,2023-11-19,71,-3.0927482253500025
UZ,2023-11-19,45,1.240818862877869
BL,2023-11-19,50,-2.1354250629038107
KG,2023-11-19,28,-0.7164482632547547
TI,2023-11-19,13,0.6863434485869596
SU,2023-11-26,140,-2.6945874341950438
PK,2023-11-26,1385,-2.618007521481901
CO,2023-11-26,135,-1.2124759666868723
BM,2023-11-26,57,-0.6947789358120101
SO,2023-11-26,295,-4.84397012846025
KE,2023-11-26,409,-1.2186075496099935
AF,2023-11-26,516,-2.7085153939231033
PE,2023-11-26,163,-1.250033665895652
VE,2023-11-26,234,-1.0303766592664878
HA,2023-11-26,50,-1.086106599078662
OD,2023-11-26,71,-0.6485746685772469
ET,2023-11-26,141,-1.657668604928842
UZ,2023-11-26,74,1.5256355777438795
KG,2023-11-26,38,1.431202155072212
ER,2023-11-26,23,-1.024353990564627
NU,2023-11-26,76,-2.058149579666877
TI,2023-11-26,27,-1.1227696530987146
BL,2023-11-26,36,0.6711392633530803
EC,2023-11-26,68,-3.3401136650711196
BL,2023-12-03,201,-0.9415718617031829
AF,2023-12-03,1219,-7.555566742339781
PK,2023-12-03,1297,-2.134343599446865
KE,2023-12-03,550,-0.9642352406963516
HA,2023-12-03,66,0.10606995563746682
VE,2023-12-03,527,-1.1629489917961946
CO,2023-12-03,200,-0.6441153187470993
SO,2023-12-03,193,-3.70069509978217
NU,2023-12-03,202,-1.8729665840147618
PE,2023-12-03,150,-1.4502829321202018
SU,2023-12-03,113,-2.1999768392589747
ET,2023-12-03,142,-1.1170147314067072
KG,2023-12-03,131,-0.625167180669712
OD,2023-12-03,49,-3.0332339305002813
TI,2023-12-03,16,0.6647962837798004
BM,2023-12-03,49,-1.6270916524434262
EC,2023-12-03,65,-0.40494761579450295
UZ,2023-12-03,56,0.35774352570661067
ER,2023-12-03,70,-6.493616570376694
PK,2023-12-10,1196,-2.1742379653055925
CO,2023-12-10,264,-0.4604343793586821
UZ,2023-12-10,56,-0.5054722989495162
AF,2023-12-10,636,-3.6678308496296004
SU,2023-12-10,345,-3.10991941716598
EC,2023-12-10,355,-2.1901224917836046
KE,2023-12-10,488,-1.3797918490666596
BL,2023-12-10,80,1.1152032759578447
HA,2023-12-10,185,-3.7350473318811668
VE,2023-12-10,655,-2.631231759697228
NU,2023-12-10,160,-4.399294246762452
PE,2023-12-10,217,-2.3578842984838753
BM,2023-12-10,50,-2.5068550930462057
KG,2023-12-10,35,0.7453947142989268
ET,2023-12-10,135,-1.3628311288336548
OD,2023-12-10,49,-3.646450836599631
SO,2023-12-10,87,-2.44013559074107
TI,2023-12-10,43,-0.5157495258798094
ER,2023-12-10,19,-1.448220787889672
PK,2023-12-17,1292,-1.3726482075023347
SO,2023-12-17,142,-1.7193267351980712
AF,2023-12-17,477,-2.5133782609794943
KE,2023-12-17,460,-0.03474249747225933
OD,2023-12-17,44,-1.0392278797683423
VE,2023-12-17,386,-2.3547902869597257
CO,2023-12-17,337,-3.1854348816478755
ER,2023-12-17,53,-0.8618026242132087
ET,2023-12-17,93,0.14861621186321233
HA,2023-12-17,232,-2.8875790107596004
NU,2023-12-17,156,-3.0920310612009487
SU,2023-12-17,204,-3.901657143675054
PE,2023-12-17,214,-0.9924187924678881
UZ,2023-12-17,54,0.4792477961120459
KG,2023-12-17,31,-0.1055448333330943
BM,2023-12-17,56,-0.6366453883861197
EC,2023-12-17,136,-2.3843997622691426
BL,2023-12-17,28,-0.3212341534257273
TI,2023-12-17,29,-0.3568620142371536
KE,2023-12-24,389,-0.7715911385334769
PK,2023-12-24,1012,-1.9307049961128633
UZ,2023-12-24,43,1.1813017447101737
VE,2023-12-24,426,-0.6978102844141739
PE,2023-12-24,130,-0.5055139255378398
AF,2023-12-24,329,-3.128216190037925
CO,2023-12-24,162,-0.28470565137652604
BM,2023-12-24,90,-0.1680619843003105
SO,2023-12-24,186,-1.7966711068177972
TI,2023-12-24,60,-4.239599908329637
BL,2023-12-24,45,0.6332907509677254
EC,2023-12-24,62,-0.223126227299074
ET,2023-12-24,93,0.8023799277285126
NU,2023-12-24,342,-2.824770914766375
KG,2023-12-24,26,0.3600180170543568
OD,2023-12-24,31,-2.2527374166038627
SU,2023-12-24,118,-2.9775358883881053
ER,2023-12-24,22,-3.71005280762098
HA,2023-12-24,59,-1.3888046527250366
KE,2023-12-31,393,-1.9739225212181903
PK,2023-12-31,1777,-2.260333952770033
VE,2023-12-31,590,-2.43877770480958
CO,2023-12-31,232,0.45701658431477177
AF,2023-12-31,859,-1.419179715948811
HA,2023-12-31,122,-0.630938963107487
SU,2023-12-31,698,-2.3217539829131826
ET,2023-12-31,191,-1.2854332332466454
NU,2023-12-31,96,-2.37320912873726
BM,2023-12-31,88,-0.9948470024588046
OD,2023-12-31,40,-2.0997039793276913
UZ,2023-12-31,50,0.9129600833466273
EC,2023-12-31,59,-0.5673799924492685
ER,2023-12-31,39,-4.67516880221473
TI,2023-12-31,159,-4.33801236458837
PE,2023-12-31,135,0.1540050571475439
BL,2023-12-31,62,0.12110574699334306
SO,2023-12-31,81,-1.9095593780425448
KG,2023-12-31,27,1.6420071422005744
ET,2024-01-07,463,-1.9783937482160052
VE,2024-01-07,340,-2.673369608093904
KE,2024-01-07,310,-0.9012031902341089
AF,2024-01-07,499,-3.6847870858688934
PK,2024-01-07,1031,-1.7663425690148251
BL,2024-01-07,49,0.6518888750461125
UZ,2024-01-07,97,-0.06165643820687472
CO,2024-01-07,176,0.23669848509446292
OD,2024-01-07,26,-1.2093250490341698
PE,2024-01-07,101,0.5121028330206283
SU,2024-01-07,81,-2.4287949877705564
ER,2024-01-07,30,-1.2506070976272763
BM,2024-01-07,80,-2.567533943039909
HA,2024-01-07,85,-1.6037003624449977
EC,2024-01-07,51,-0.8836789807023128
SO,2024-01-07,120,-1.5512729290621048
TI,2024-01-07,42,-3.591176175211053
NU,2024-01-07,52,-2.2473693183020598
KG,2024-01-07,22,0.11136022777794649
KE,2024-01-14,326,-1.1047415388941675
SO,2024-01-14,348,-1.914572466472389
ET,2024-01-14,152,-0.7504919068990775
CO,2024-01-14,306,-3.255680606422966
PK,2024-01-14,1085,-2.161581129694289
EC,2024-01-14,200,-5.875768902579008
AF,2024-01-14,424,-3.07325989580443
NU,2024-01-14,80,-3.3954546269526866
VE,2024-01-14,183,-1.1538567285619814
ER,2024-01-14,45,-3.571576363321905
SU,2024-01-14,109,-3.5500594764539355
PE,2024-01-14,122,-1.9266042493328568
OD,2024-01-14,38,-1.164879090398567
BM,2024-01-14,38,-1.8763714804738416
UZ,2024-01-14,55,0.1702521029063358
HA,2024-01-14,42,-0.9625642829039466
TI,2024-01-14,40,-1.7731113970645094
BL,2024-01-14,44,-2.139770115351467
KG,2024-01-14,16,1.44465480781304
PK,2024-01-21,1307,-1.9195472080455263
HA,2024-01-21,136,-0.6510793074929115
KE,2024-01-21,326,-0.6659730411823317
SU,2024-01-21,275,-1.6758934270160404
OD,2024-01-21,66,-1.3939475893835782
AF,2024-01-21,793,-1.8807215840578688
BM,2024-01-21,64,-2.0543179226123662
SO,2024-01-21,176,-2.0168969363107134
ER,2024-01-21,58,-3.356055185860067
ET,2024-01-21,233,-1.6998520922331297
TI,2024-01-21,220,-2.2319761917270258
VE,2024-01-21,165,-1.3698682182922997
KG,2024-01-21,51,0.22680363296772407
CO,2024-01-21,187,-1.0682136046756339
PE,2024-01-21,140,-2.1729183959834004
UZ,2024-01-21,251,-2.546269772393084
NU,2024-01-21,69,-0.824490458375611
EC,2024-01-21,62,-1.3417807695739157
BL,2024-01-21,49,0.2428646647789261
VE,2024-01-28,281,-1.9089707327268695
PK,2024-01-28,1051,-1.9832099641106777
AF,2024-01-28,547,-4.212431061530525
KE,2024-01-28,308,-1.081973639436439
KG,2024-01-28,144,0.048529156180353944
HA,2024-01-28,81,-2.189850792803372
PE,2024-01-28,104,-0.1477979576312795
NU,2024-01-28,47,-0.8994542967970492
CO,2024-01-28,257,-1.5669724823615967
SU,2024-01-28,107,-1.6488735800047996
ET,2024-01-28,129,-0.5951487061019429
OD,2024-01-28,63,-1.6129372892336784
SO,2024-01-28,127,-1.7779830843699114
BL,2024-01-28,57,-2.0295839300132825
ER,2024-01-28,37,-1.4072982789187847
TI,2024-01-28,97,-3.2281849848419824
BM,2024-01-28,60,-0.5575482040158057
UZ,2024-01-28,35,1.487650584947163
EC,2024-01-28,41,-0.023250834166218457
BM,2024-02-04,64,-1.8079816701273967
PK,2024-02-04,1197,-1.494147365885578
SO,2024-02-04,428,-5.349010398494631
KE,2024-02-04,532,-0.6271201849293125
AF,2024-02-04,727,-3.488244400514537
EC,2024-02-04,114,-2.5295629607642978
CO,2024-02-04,428,-5.168226576465915
PE,2024-02-04,118,-0.30340706468921025
SU,2024-02-04,88,-2.790606840395719
UZ,2024-02-04,162,1.3113579428059456
VE,2024-02-04,179,-1.564152518931408
ET,2024-02-04,149,0.6148592787953916
ER,2024-02-04,9,-0.8958403527744755
NU,2024-02-04,29,-2.4196964846484112
HA,2024-02-04,70,-1.4709000855901468
OD,2024-02-04,18,-1.6407045492008316
TI,2024-02-04,34,-1.4948181282279125
BL,2024-02-04,31,0.4687213785181739
KG,2024-02-04,27,-0.9439274190882238
PK,2024-02-11,1730,-1.5835537797433823
BM,2024-02-11,87,-1.3609564185485745
SO,2024-02-11,368,-5.831774143729893
ET,2024-02-11,124,0.1240078258072134
PE,2024-02-11,140,-0.18099762116210896
VE,2024-02-11,243,-3.9569173051724524
SU,2024-02-11,78,-1.5933812323534016
KE,2024-02-11,446,-2.9121308240925097
NU,2024-02-11,96,-4.045532505650393
CO,2024-02-11,159,0.020831575192307532
AF,2024-02-11,517,-2.0338866053143563
OD,2024-02-11,26,-1.276227273990906
BL,2024-02-11,48,-0.4331484345629673
EC,2024-02-11,51,-0.611067913258456
HA,2024-02-11,49,-1.1528369543711858
TI,2024-02-11,27,2.437070846591297
KG,2024-02-11,33,-0.3334336267836925
UZ,2024-02-11,37,0.5902543729706391
ER,2024-02-11,13,-0.28817590442397034
PK,2024-02-18,1313,-2.1617418323727065
VE,2024-02-18,127,-1.0036964778500326
PE,2024-02-18,98,0.36004786411585477
AF,2024-02-18,471,-1.8188725823716319
KE,2024-02-18,347,-0.6992519387139884
SO,2024-02-18,103,-2.679511936073683
ET,2024-02-18,462,-2.731305452442995
SU,2024-02-18,200,-2.853613002463933
KG,2024-02-18,28,-1.2915723700453197
TI,2024-02-18,16,1.1879628501012127
UZ,2024-02-18,54,0.8418528073404375
BL,2024-02-18,29,-0.698807505186898
EC,2024-02-18,40,0.36656045830812045
HA,2024-02-18,56,-1.5202155015289047
BM,2024-02-18,43,-1.9151813081580935
NU,2024-02-18,20,-2.4687368173839648
OD,2024-02-18,34,-1.8581659511006658
CO,2024-02-18,105,-0.9029141808500665
ER,2024-02-18,96,-7.04823361351979
KG,2024-02-25,53,-2.161262282834022
CO,2024-02-25,135,0.6979289143493457
AF,2024-02-25,782,-1.9527948149806509
PK,2024-02-25,927,-0.9866950981962472
SU,2024-02-25,127,-2.8254072491171693
OD,2024-02-25,53,-4.556562081185448
KE,2024-02-25,635,-1.5474076235878091
VE,2024-02-25,375,-3.128787171566852
NU,2024-02-25,37,-1.1046243511769371
HA,2024-02-25,247,-1.6669040920004352
ET,2024-02-25,168,-0.5858335854707994
BL,2024-02-25,29,0.2922188331499683
TI,2024-02-25,22,-0.29767046129752295
UZ,2024-02-25,59,1.3229133465629246
SO,2024-02-25,70,-2.3178905888074195
BM,2024-02-25,59,-0.1151055236082205
PE,2024-02-25,111,0.9076088070831807
EC,2024-02-25,38,-1.3890447411439062
ER,2024-02-25,22,-1.9765860686059908
KE,2024-03-03,675,-1.4934624884543408
SO,2024-03-03,94,-2.024879955685721
ET,2024-03-03,191,0.06451313765362594
AF,2024-03-03,794,-3.189468463948964
PK,2024-03-03,1756,-2.2655363375667665
HA,2024-03-03,406,-3.7163837874513237
CO,2024-03-03,377,-2.466171286333397
SU,2024-03-03,155,-3.1733508220172593
UZ,2024-03-03,72,-0.8066266352408091
VE,2024-03-03,523,-2.4643798236685237
KG,2024-03-03,36,-1.6938107794353212
PE,2024-03-03,164,0.7199799241378908
BL,2024-03-03,68,-1.6973523181591954
TI,2024-03-03,9,-2.3641294259405052
EC,2024-03-03,77,-1.4008336954033886
BM,2024-03-03,45,-1.229238997066034
NU,2024-03-03,68,-1.3279528422692894
OD,2024-03-03,47,-2.4061779883120473
ER,2024-03-03,25,-4.151685440067293
KG,2024-03-10,32,1.1987825234028051
AF,2024-03-10,500,-1.9506008919412905
KE,2024-03-10,686,-1.658601789814966
HA,2024-03-10,640,-3.3233058008309073
PE,2024-03-10,305,-0.3023454667159013
PK,2024-03-10,1490,-1.3680826781315396
VE,2024-03-10,1255,-3.4484809906604452
SO,2024-03-10,74,-0.20131680508648825
SU,2024-03-10,474,-2.9240128105182954
ET,2024-03-10,371,-2.2413257409570466
BM,2024-03-10,29,-2.460230508419158
NU,2024-03-10,50,-3.1320148467580946
CO,2024-03-10,276,-1.2405997324491607
TI,2024-03-10,15,0.6429990800695218
UZ,2024-03-10,109,-0.2943357525556888
ER,2024-03-10,11,-0.8663577655465062
OD,2024-03-10,45,-0.9359961301472962
EC,2024-03-10,87,-0.11926765975709082
BL,2024-03-10,23,-0.3181654240530746
PK,2024-03-17,1042,-2.0824289444160065
AF,2024-03-17,604,-4.506631447573111
KE,2024-03-17,391,-1.2783177280389548
SU,2024-03-17,431,-3.188577443602033
ET,2024-03-17,125,0.6513574339507587
OD,2024-03-17,68,-2.768032034249092
HA,2024-03-17,399,-3.6518345150669047
NU,2024-03-17,45,-1.2884961913315391
BM,2024-03-17,40,-1.5958750507436588
TI,2024-03-17,60,-4.958259706340418
PE,2024-03-17,107,-0.5552200960517334
BL,2024-03-17,192,1.6044742282703117
EC,2024-03-17,173,-3.7050449038193864
CO,2024-03-17,352,-1.3623939743891647
SO,2024-03-17,272,-3.1878800424680858
VE,2024-03-17,193,-1.095363178076743
UZ,2024-03-17,96,-1.8784911443727366
KG,2024-03-17,50,-2.312147037951058
ER,2024-03-17,19,-3.2954187994643447
SU,2024-03-24,120,-2.3084058791352438
AF,2024-03-24,1535,-5.81181726213985
ET,2024-03-24,144,-0.7573840131803338
PK,2024-03-24,1180,-1.4309791274418822
VE,2024-03-24,225,-4.170638073000934
KE,2024-03-24,385,-1.090283692806643
HA,2024-03-24,189,-2.909024654799241
TI,2024-03-24,375,-7.725936802082407
EC,2024-03-24,206,-2.001300933880229
CO,2024-03-24,264,-0.930912690636484
BL,2024-03-24,168,1.6143920232249191
NU,2024-03-24,36,-1.7724315911750765
SO,2024-03-24,126,-3.6357723346297726
PE,2024-03-24,138,0.12008636256466666
BM,2024-03-24,50,-2.1758463918547157
OD,2024-03-24,37,-1.4190532539951886
UZ,2024-03-24,72,-4.365583020391815
ER,2024-03-24,14,0.36548362661473593
KG,2024-03-24,33,-1.3259866126473363
PE,2024-03-31,297,-1.6834517576745855
HA,2024-03-31,459,-1.6725988273588965
CO,2024-03-31,123,-0.38218238561385776
PK,2024-03-31,1066,-1.196311798557495
AF,2024-03-31,422,-3.401009538777049
BM,2024-03-31,57,-1.8677305000411077
VE,2024-03-31,435,-1.5108296549713631
SU,2024-03-31,265,-2.4513109715995354
EC,2024-03-31,118,-4.462044779169216
OD,2024-03-31,94,-3.9613372211202136
SO,2024-03-31,116,-1.5574331165325934
KE,2024-03-31,334,-0.8216779398877304
NU,2024-03-31,42,-1.1272896870282483
ET,2024-03-31,102,-0.4553442810510833
KG,2024-03-31,39,-3.3121840175087405
TI,2024-03-31,93,-6.032022320842663
UZ,2024-03-31,55,-2.6759207827014317
ER,2024-03-31,9,-1.3824785814354865
BL,2024-03-31,30,0.2845238460305747
SU,2024-04-07,91,-3.0043407276276235
PK,2024-04-07,1228,-2.353493335569421
PE,2024-04-07,231,-2.1912599445108842
BL,2024-04-07,150,-4.520595874902365
VE,2024-04-07,478,-2.7695031971750756
NU,2024-04-07,274,-5.24989372787963
EC,2024-04-07,678,-5.112862302075047
CO,2024-04-07,245,-3.3034625389185477
HA,2024-04-07,175,-2.725831317557951
ET,2024-04-07,144,-0.6336807237007114
AF,2024-04-07,611,-3.1025750618938073
UZ,2024-04-07,48,-0.7485395501515297
KE,2024-04-07,368,-0.4082234596358799
BM,2024-04-07,70,-0.8386481009715575
OD,2024-04-07,28,-2.7878009358767746
TI,2024-04-07,62,-3.584255445109107
ER,2024-04-07,22,-0.8532478505609337
SO,2024-04-07,70,-1.79560268928147
KG,2024-04-07,28,-0.11329776061120879
AF,2024-04-14,492,-1.1140259366758034
EC,2024-04-14,46,-2.1647448855357454
CO,2024-04-14,200,-1.2740789323388853
BL,2024-04-14,43,-1.5263218595576742
VE,2024-04-14,281,-2.7389203094341688
UZ,2024-04-14,57,-0.35262799499547626
SO,2024-04-14,123,-3.7028324075011096
SU,2024-04-14,272,-5.226234371628199
KE,2024-04-14,365,-1.6164499021083152
OD,2024-04-14,76,-5.141394287935647
PK,2024-04-14,1111,-3.227342520843217
ET,2024-04-14,151,-1.637122374240774
PE,2024-04-14,148,-0.452300691382844
BM,2024-04-14,57,-1.241585173077773
NU,2024-04-14,88,-2.5983585366098345
HA,2024-04-14,172,-3.41301318647534
KG,2024-04-14,36,-1.7024848541423625
ER,2024-04-14,14,-2.5508904145076357
TI,2024-04-14,19,-3.2325125493422022
EC,2024-04-21,329,-6.049714804930991
CO,2024-04-21,450,-4.07726716190569
VE,2024-04-21,144,-1.3761146334178969
PK,2024-04-21,1192,-1.5873072387241625
KE,2024-04-21,1130,0.05972147424643187
ET,2024-04-21,453,-0.8863770561262465
HA,2024-04-21,278,-1.9062773146464826
AF,2024-04-21,698,-2.4702707825034698
SU,2024-04-21,247,-2.1070525996448293
ER,2024-04-21,85,-1.7450955770954026
PE,2024-04-21,124,-0.3011025487236649
BL,2024-04-21,80,0.7430271138634864
SO,2024-04-21,64,-2.194724582479061
OD,2024-04-21,34,-2.7820452249389254
UZ,2024-04-21,87,1.9112048914085946
KG,2024-04-21,32,0.09028470596290103
TI,2024-04-21,17,-1.3721872593963116
BM,2024-04-21,39,-1.9609942231281299
NU,2024-04-21,26,-1.823936618794235
SU,2024-04-28,118,-3.9618756811444045
PK,2024-04-28,1218,-1.2159639576250483
ET,2024-04-28,159,-2.267489806241859
