country,week,gkg_embed_0,gkg_embed_1,gkg_embed_2,gkg_embed_3,gkg_embed_4,gkg_embed_5,gkg_embed_6,gkg_embed_7,gkg_embed_8,gkg_embed_9,gkg_embed_10,gkg_embed_11
AF,2023-08-13,0.5251283984267502,0.1923938500835126,0.10480371272558425,0.14341205706235272,0.6032226420211686,0.17885619882393447,0.1253548495197456,0.11720783478102324,-0.09734278808597463,-0.04970353999205481,-0.02105861836522828,-0.35153838911462165
AF,2023-08-20,0.541892684719823,0.2668360592908776,0.03280214264816709,0.1658569334515311,0.6018526496410641,0.14258749548936558,0.20124150233563184,0.07980426490239109,-0.06171764319834469,-0.031901655023793773,-0.0004217744252915465,-0.2801816885020195
AF,2023-08-27,0.5252142700385891,0.22055091629798393,-0.04657319290061598,0.15817452301794047,0.5661037700915136,0.1379832538108313,0.20518771093282312,0.13678984111176382,-0.09115376769326208,0.01868410640736234,0.030709087774684802,-0.241348856473685
AF,2023-09-03,0.5378132773784502,0.16207416763875956,0.13841579937805273,0.21383166191436292,0.592878266626338,0.12497884508575192,0.12415990991248331,0.07164969147244044,-0.11481658141145219,-0.06001998942489181,-0.030792321549311337,-0.29434466559780037
AF,2023-09-10,0.5025256332148511,0.20778031017299955,0.07547805262299406,0.17819848591759838,0.5560231927566381,0.13038799031085727,0.1637715554379013,0.14059466777354632,-0.09923950917730415,-0.04718518139488102,0.01302642335347175,-0.24885264006718888
AF,2023-09-17,0.5572707360182093,0.18578183547904403,0.10175808113116,0.15349595242966985,0.5836898193414995,0.10030205453990551,0.09753304810297483,0.07531421274207976,-0.0568747935735068,-0.028425862707732782,-0.0385545963965976,-0.2785987146004778
AF,2023-09-24,0.5128057642820734,0.19795274651700454,0.02407756505683931,0.18211428103705785,0.5711950661770437,0.17060716005848967,0.13755328953857004,0.0469696057208443,-0.11080196713060449,-0.04537971847663128,-0.013144394613401037,-0.30650187078503
AF,2023-10-01,0.5448789662247635,0.23352737892173453,0.07994872901963274,0.1895291435396239,0.6277303528677943,0.16397183593413356,0.08837751907249486,0.10979467875011574,-0.10207287857415279,-0.03705479396494263,-0.0076308945058958235,-0.36082911996224415
AF,2023-10-08,0.4647750892864771,0.21992557368774618,-0.05341942029965011,-0.06326264497382898,0.4789415888074314,0.5147063549641094,0.23227678126062337,0.0521405313263601,0.11568623375998369,0.14139755610550064,0.1355186923995466,-0.23807547116172817
AF,2023-10-15,0.4732986576970711,0.2222180801056539,-0.013067352839122427,-7.1751098644443775e-06,0.48506626959273663,0.3504130294534701,0.21582995627302404,0.055552764979795034,0.10763373244436202,0.07831717861954827,0.022841809172527566,-0.20851730228162016
AF,2023-10-22,0.46962255196107594,0.207566273216658,0.1199399497617431,0.17912691665872502,0.5213986683053315,0.22770367799508875,0.1462174804321958,0.06272813671049188,-0.1515023566953589,-0.03344585330958262,0.0075540359730855945,-0.28257088275280356
AF,2023-10-29,0.47374788710769145,0.22545669692629694,0.13096422790133397,0.19967504911133405,0.5336920397064171,0.2454741203023165,0.17790627223021702,0.049351409779954204,-0.16391415444828394,-0.03109612410807712,0.007148802484711604,-0.2639183956582566
AF,2023-11-05,0.5125121940939474,0.1548210216710643,0.07635933911774706,0.12117250415766052,0.5487391301972392,0.22284172195298166,0.17829401563214914,0.05301571091129809,-0.08925529394737472,-0.03524057045027135,0.015913949026031805,-0.30385716546722275
AF,2023-11-12,0.5597115412355284,0.23134934429891232,0.13333135547391714,0.17976019673477162,0.6578112315947465,0.14099248042466497,0.16560221634733058,0.0939312593955189,-0.14496864357445752,-0.04270128486931051,-0.02390855058642303,-0.33742308626267703
AF,2023-11-19,0.49413018850609064,0.18554886918284608,0.06533693320542089,0.2098572937425405,0.5572924736386413,0.1608860453120316,0.13193350771094142,0.08436118344032335,-0.15701816290899417,-0.08353952413465937,0.006942604795285899,-0.2695427682391386
AF,2023-11-26,0.5520562121086439,0.205573280385015,0.09456636841320029,0.1416138743911601,0.6052261431436721,0.11866260555810138,0.16001403351715135,0.04993214654353684,-0.10803453263462222,-0.07536322155499355,-0.041142821595458026,-0.32014054411692505
AF,2023-12-03,0.5535828599803727,0.325438634062131,0.17057513667077293,0.164307087593188,0.6943735478792628,0.12623747477446443,0.2825931963571667,0.0877034659952128,-0.06141350707931927,-0.06998980570375164,0.005708076147410485,-0.38423945248452884
AF,2023-12-10,0.46590613943497783,0.1733548703754589,0.09397992930183059,0.20841606138409122,0.5156664670819229,0.16989549040157723,0.1044097483703982,0.07822800600755826,-0.19601112204739152,-0.034517776969370986,0.037407578590627835,-0.2402818652383393
AF,2023-12-17,0.5020475150649042,0.18389051237120665,0.13336219501096017,0.1953274519494745,0.5760019197698771,0.17280672487051285,0.14970984093421483,0.0678753414126196,-0.1462781999037383,-0.08484378490902769,-0.022905275980304875,-0.35450834816563087
AF,2023-12-24,0.5495587054689679,0.2365401249519564,0.05437526167281485,0.16399021294005053,0.6348490040922168,0.14085950144970372,0.18145289811280768,0.07525429723612535,-0.10127599880337627,-0.04550995181316529,-0.01946590477912379,-0.3461969498285987
AF,2023-12-31,0.5674871029669069,0.3175521432989486,0.09695629915965699,0.14991226061523352,0.6487833860359887,0.13781380958432707,0.23629081957959952,-0.011276132474035189,-0.01839641011225503,0.002023858949789139,-0.011164588534620164,-0.32107030941395387
AF,2024-01-07,0.512600681950529,0.20304742192418804,0.09647259330899301,0.18339547515903315,0.5741805736410973,0.2081091684818539,0.14605561716558538,0.04872517901472874,-0.1033488462418977,-0.026665907043765768,-0.011736349165033683,-0.2958442672231657
AF,2024-01-14,0.5196894661227833,0.2221273437120685,0.13918107478120725,0.14196044671573416,0.5875397058853153,0.17772325668916966,0.17802343151958339,0.08907374257369013,-0.11590216363435084,-0.021391901122092716,-0.012650710377358359,-0.3127443004456129
AF,2024-01-21,0.585037029775592,0.2490823025250269,0.15016420529472832,0.10833526211311814,0.7077044787751273,0.14843783573396294,0.2314721609451918,0.12390133499637601,-0.03517091773755724,-0.08431043939514249,-0.1080436922339584,-0.46172805438577075
AF,2024-01-28,0.5274273039058306,0.20492081606515364,0.12649909594568973,0.16461295713785756,0.5833286322327506,0.15567585703751172,0.1297810655622395,0.08583984779128452,-0.1818032527507069,-0.07091213663251712,-0.00836491409676364,-0.28536642040295346
AF,2024-02-04,0.5226864484660374,0.3173898968432484,-0.2919331099262079,0.27031820299919473,0.6084242116149645,0.09475016087723698,0.15049862105324396,0.12080696009425171,-0.07870979302825187,-0.004380410073988517,0.004304533224113571,-0.21029013912203295
AF,2024-02-11,0.48927396092196124,0.14019792173311016,0.1524620537325498,0.2087296294718785,0.5299762739233482,0.1750460634630547,0.13165028624652853,0.0798940511647699,-0.2013206489340089,-0.07424640767574239,-0.019068078231113242,-0.2599356590718129
AF,2024-02-18,0.5201041847638779,0.19694558019710487,0.15702031586962711,0.16104025702700336,0.6008345312815362,0.17128670406390473,0.20373573785608287,0.07685984016955363,-0.12512372770570218,-0.09213728692077824,-0.038339454569592105,-0.3624985497491632
AF,2024-02-25,0.4493480430466618,0.1758553876105888,0.16316963629363684,0.27044862761481314,0.5061750716083225,0.18008936199145667,0.1117953939521337,0.10165976847690457,-0.23740712757039395,-0.11791029594129389,-0.03406825937588835,-0.24055301462843795
AF,2024-03-03,0.45733215486508993,0.17106298674858833,0.12903478139771613,0.22028033250137036,0.5276538944585231,0.2435682929275158,0.13829997407026795,0.04381674831950291,-0.19105868579857452,-0.05281343558459103,7.213050282994968e-05,-0.26082368507123815
AF,2024-03-10,0.5208861073793323,0.21796581235284912,0.10677910453130984,0.1782363572970105,0.5699279229987071,0.16038574471237121,0.09034586702447271,0.09872034304469428,-0.09943199792749112,-0.011005672461576554,-0.000565835992582026,-0.28273690994542017
AF,2024-03-17,0.5027802929161783,0.22742129700686134,0.07629257017519091,0.17901512696031843,0.5433005424768131,0.20536926401111152,0.10887188478108849,0.08559626915065388,-0.06868727924695309,0.014340664816079741,0.015572206550516119,-0.24075156341793752
AF,2024-03-24,0.5521811584676541,0.3119815602140092,0.154547333237316,0.13496033224262813,0.7089436106018182,0.27937328990536636,0.3407473863607425,0.00031624006823219325,-0.016240794140003956,-0.045573567387960034,-0.07623438213283704,-0.478075617356671
AF,2024-03-31,0.5339397328858851,0.23102637067518123,0.12629416819937492,0.16110132347675327,0.6256148847175067,0.19486997056494879,0.18744489970849904,0.023492594318015928,-0.11734221785899623,-0.05214871540697408,-0.051717111433488935,-0.3741015531189375
AF,2024-04-07,0.4845752609895236,0.2609724538053873,0.17676300788269692,0.22420752181198234,0.5228344947565762,0.18291144692294892,0.18912645152913932,0.0873197425148643,-0.12094038862642831,-0.027144248180557242,0.005246674096257161,-0.21614511588501997
